"","GeoCode","Boro_Location","GeoCodeLabel","PassengKilled","InJury_type","NofCases"
"195",17,"Manhattan 17th Precinct","17th Precinct",0,"Injury_or_Fatal_Collisions",54
"196",110,"Queens 110th Precinct","110th Precinct",0,"Injury_or_Fatal_Collisions",54
"197",40,"Bronx 40th Precinct","40th Precinct",0,"MotoristsInjured",54
"198",44,"Bronx 44th Precinct","44th Precinct",0,"MotoristsInjured",54
"199",122,"S.Island 122nd Precinct","122nd Precinct",0,"MotoristsInjured",54
"200",73,"Brooklyn 73rd Precinct","73rd Precinct",0,"Injury_or_Fatal_Collisions",53
"201",77,"Brooklyn 77th Precinct","77th Precinct",0,"Injury_or_Fatal_Collisions",52
"202",48,"Bronx 48th Precinct","48th Precinct",0,"Injury_or_Fatal_Collisions",51
"203",66,"Brooklyn 66th Precinct","66th Precinct",0,"Injury_or_Fatal_Collisions",50
"204",71,"Brooklyn 71st Precinct","71st Precinct",0,"Injury_or_Fatal_Collisions",49
"205",46,"Bronx 46th Precinct","46th Precinct",0,"Injury_or_Fatal_Collisions",48
"206",60,"Brooklyn 60th Precinct","60th Precinct",0,"Injury_or_Fatal_Collisions",48
"207",106,"Queens 106th Precinct","106th Precinct",0,"MotoristsInjured",48
"208",13,"Manhattan 13th Precinct","13th Precinct",0,"Injury_or_Fatal_Collisions",47
"209",61,"Brooklyn 61st Precinct","61st Precinct",0,"Injury_or_Fatal_Collisions",47
"210",62,"Brooklyn 62nd Precinct","62nd Precinct",0,"Injury_or_Fatal_Collisions",47
"211",103,"Queens 103rd Precinct","103rd Precinct",0,"MotoristsInjured",47
"212",115,"Queens 115th Precinct","115th Precinct",0,"MotoristsInjured",47
"213",79,"Brooklyn 79th Precinct","79th Precinct",0,"Injury_or_Fatal_Collisions",46
"214",25,"Manhattan 25th Precinct","25th Precinct",0,"Injury_or_Fatal_Collisions",45
"215",112,"Queens 112th Precinct","112th Precinct",0,"Injury_or_Fatal_Collisions",45
"216",69,"Brooklyn 69th Precinct","69th Precinct",0,"Injury_or_Fatal_Collisions",44
"217",113,"Queens 113th Precinct","113th Precinct",0,"PassengInjured",44
"218",49,"Bronx 49th Precinct","49th Precinct",1,"MotoristsInjured",43
"219",1,"Manhattan 1st Precinct","1st Precinct",0,"Injury_or_Fatal_Collisions",42
"220",88,"Brooklyn 88th Precinct","88th Precinct",0,"Injury_or_Fatal_Collisions",42
"221",121,"S.Island 121st Precinct","121st Precinct",0,"MotoristsInjured",42
"222",44,"Bronx 44th Precinct","44th Precinct",0,"PassengInjured",42
"223",106,"Queens 106th Precinct","106th Precinct",0,"PassengInjured",41
"224",5,"Manhattan 5th Precinct","5th Precinct",0,"Injury_or_Fatal_Collisions",40
"225",114,"Queens 114th Precinct","114th Precinct",0,"MotoristsInjured",40
"226",111,"Queens 111th Precinct","111th Precinct",0,"Injury_or_Fatal_Collisions",38
"227",110,"Queens 110th Precinct","110th Precinct",0,"MotoristsInjured",38
"228",47,"Bronx 47th Precinct","47th Precinct",0,"PassengInjured",38
"229",120,"S.Island 120th Precinct","120th Precinct",0,"Injury_or_Fatal_Collisions",37
"230",68,"Brooklyn 68th Precinct","68th Precinct",0,"MotoristsInjured",37
"231",77,"Brooklyn 77th Precinct","77th Precinct",0,"PassengInjured",37
"232",102,"Queens 102nd Precinct","102nd Precinct",0,"MotoristsInjured",36
"233",111,"Queens 111th Precinct","111th Precinct",0,"MotoristsInjured",36
"234",52,"Bronx 52nd Precinct","52nd Precinct",0,"MotoristsInjured",35
"235",69,"Brooklyn 69th Precinct","69th Precinct",0,"MotoristsInjured",35
"236",18,"Manhattan Midtown North Precinct","Midtown North Precinct",0,"Injury_or_Fatal_Collisions",34
"237",71,"Brooklyn 71st Precinct","71st Precinct",0,"MotoristsInjured",34
"238",72,"Brooklyn 72nd Precinct","72nd Precinct",0,"MotoristsInjured",34
"239",83,"Brooklyn 83rd Precinct","83rd Precinct",0,"MotoristsInjured",34
"240",48,"Bronx 48th Precinct","48th Precinct",0,"PassengInjured",34
"241",68,"Brooklyn 68th Precinct","68th Precinct",0,"PassengInjured",34
"242",103,"Queens 103rd Precinct","103rd Precinct",0,"PassengInjured",34
"243",104,"Queens 104th Precinct","104th Precinct",0,"PassengInjured",34
"244",84,"Brooklyn 84th Precinct","84th Precinct",0,"Injury_or_Fatal_Collisions",33
"245",94,"Brooklyn 94th Precinct","94th Precinct",0,"Injury_or_Fatal_Collisions",33
"246",41,"Bronx 41st Precinct","41st Precinct",0,"Injury_or_Fatal_Collisions",32
"247",63,"Brooklyn 63rd Precinct","63rd Precinct",0,"Injury_or_Fatal_Collisions",32
"248",19,"Manhattan 19th Precinct","19th Precinct",0,"MotoristsInjured",32
"249",77,"Brooklyn 77th Precinct","77th Precinct",0,"MotoristsInjured",32
