"","Doctor.Who.season","doctor.actor","ep..no","from","estimated.from","location","V1","????","Dundra System to Earth","earth","Earth","Earth and other planets","Earth/ Atlantis","Gallifrey, Earth","Indian Ocean, Planet Inter Minor","Planet: Oseidon; also village of Devesham","space"
"52","7","McCoy","154","1943",1983,"Maiden's Point, Northumberland",NA,NA,NA,NA,"England",NA,NA,NA,NA,NA,NA
"53","10","Tennant","206","1953",2007,"London",NA,NA,NA,NA,"England",NA,NA,NA,NA,NA,NA
"54","1","Hartnell","1","1963",NA,"n/a","n/a",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"55","7","McCoy","148","1963",4687,"London",NA,NA,NA,NA,"England",NA,NA,NA,NA,NA,NA
"56","1","Hartnell","10","1963",NA,"London ",NA,NA,NA,NA,"UK",NA,NA,NA,NA,NA,NA
"57","1","Hartnell","17","1965",NA,"Northumbria","UK",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"58","1","Hartnell","16","1966",NA,"Atlantic Ocean",NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA
"59","1","Hartnell","27","1966",1881,"London",NA,NA,NA,NA,"UK",NA,NA,NA,NA,NA,NA
"60","2","Troughton","35","1966",2070,"Gatwick Airport
Earth orbit",NA,NA,NA,NA,"UK
",NA,NA,NA,NA,NA,NA
"61","2","Troughton","42","1967",1970,"North Sea",NA,NA,NA,NA,"UK",NA,NA,NA,NA,NA,NA
"62","2","Troughton","45","1968",NA,"""the land of fiction""","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"63","2","Troughton","61","1969",NA,"battle of Culloden",NA,NA,NA,NA,"Scotland",NA,NA,NA,NA,NA,NA
"64","2","Troughton","59","1969",NA,"",NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA
"65","11","Smith","2","1969",NA,"Utah to Cape Kennedy",NA,NA,NA,NA,"USA",NA,NA,NA,NA,NA,NA
"66","2","Troughton","41","1970",1930,"London",NA,NA,NA,NA,"UK",NA,NA,NA,NA,NA,NA
"67","3","Pertwee","51","1970",NA,"London and other",NA,NA,NA,NA,"England",NA,NA,NA,NA,NA,NA
"68","2","Troughton","48","1970",NA,"space museum, London; the moon",NA,NA,NA,NA,"UK",NA,NA,NA,NA,NA,NA
"69","3","Pertwee","59","1971",2472,"Devil's End, Wiltshire",NA,NA,NA,NA,"England",NA,NA,NA,NA,NA,NA
"70","3","Pertwee","64","1972",2900,"",NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA
"71","3","Pertwee","66","1972",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,"Ocean, alien planet",NA,NA
"72","3","Pertwee","60","1972",NA,"Auderly House and environs",NA,NA,NA,NA,"England",NA,NA,NA,NA,NA,NA
"73","3","Pertwee","70","1973",NA,"Wessex Castle",NA,NA,NA,NA,"UK",NA,NA,NA,NA,NA,NA
"74","4","Baker","94","1977",5000,"Fetch Priory",NA,NA,NA,NA,"England",NA,NA,NA,NA,NA,NA
"75","5","Davison","123","1978",NA,"",NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA
"76","4","Baker","unaired","1979",2116,"Cambridge",NA,NA,NA,NA,"England",NA,NA,NA,NA,NA,NA
"77","4","Baker","83","1980",1911,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,"England",NA
"78","4","Baker","87","1980",1492,"Planet: Kastria; ",NA,NA,NA,NA,"England",NA,NA,NA,NA,NA,NA
"79","5","Davison","133","1984",1e+07,"London",NA,NA,NA,"England",NA,NA,NA,NA,NA,NA,NA
"80","6","Colin Baker","137","1985",NA,"London",NA,NA,NA,"England",NA,NA,NA,NA,NA,NA,NA
"81","1","Hartnell","29","1986",1671,"South Pole",NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA
"82","7","McCoy","155","1987",1943,"Perivale",NA,NA,NA,NA,"England",NA,NA,NA,NA,NA,NA
"83","11","Smith","1","1996",NA,"Leadworth",NA,NA,NA,NA,"England",NA,NA,NA,NA,NA,NA
